course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info
이천실크밸리,2026-09-19,13:38,155000,golfpang,,,
양평TPC,2026-09-19,13:15,160000,golfpang,,,
젠스필드,2026-09-19,18:52,100000,golfpang,,,
빅토리아-퍼9,2026-09-19,17:38,99000,golfpang,,,
이천실크밸리,2026-09-19,12:49,155000,golfpang,,,
해솔리아,2026-09-19,13:12,170000,golfpang,,,
젠스필드,2026-09-19,17:49,110000,golfpang,,,
이천실크밸리,2026-09-19,18:24,110000,golfpang,,,
신안(병행),2026-09-19,18:24,100000,golfpang,,,
용인(비공개),2026-09-19,17:35,150000,golfpang,,,
리베라,2026-09-19,18:52,140000,golfpang,,,
용인(비공개),2026-09-19,17:21,150000,golfpang,,,
포웰(안성)cc,2026-09-19,17:50,120000,golfpang,,,
리베라,2026-09-19,18:03,140000,golfpang,,,
리베라,2026-09-19,17:49,140000,golfpang,,,
이천실크밸리,2026-09-19,13:24,155000,golfpang,,,
젠스필드,2026-09-19,18:24,100000,golfpang,,,
이천실크밸리,2026-09-19,13:52,155000,golfpang,,,
이글몬트,2026-09-19,13:46,170000,golfpang,,,
360도,2026-09-19,14:06,160000,golfpang,,,
한림용인,2026-09-19,13:53,170000,golfpang,,,
젠스필드,2026-09-19,18:38,100000,golfpang,,,
이천실크밸리,2026-09-19,18:03,110000,golfpang,,,
한림용인,2026-09-19,14:00,170000,golfpang,,,
신안,2026-09-19,18:45,110000,golfpang,,,
리베라,2026-09-19,18:45,140000,golfpang,,,
이글몬트,2026-09-19,13:53,170000,golfpang,,,
이글몬트,2026-09-19,13:32,170000,golfpang,,,
양평TPC,2026-09-19,13:08,160000,golfpang,,,
양평TPC,2026-09-19,13:01,160000,golfpang,,,
그린힐,2026-09-19,18:38,110000,golfpang,,,
젠스필드,2026-09-19,18:45,100000,golfpang,,,
한림용인,2026-09-19,14:07,170000,golfpang,,,
이천실크밸리,2026-09-19,12:07,155000,golfpang,,,
아세코밸리-퍼9,2026-09-19,12:37,130000,golfpang,,,
이포,2026-09-19,18:13,155000,golfpang,,,
골프존 송도(구.오렌지듄스),2026-09-19,13:43,199000,golfpang,,,
용인(비공개),2026-09-19,13:52,199000,golfpang,,,
용인(비공개),2026-09-19,18:17,150000,golfpang,,,
용인(비공개),2026-09-19,14:06,199000,golfpang,,,
골프존 송도(구.오렌지듄스),2026-09-19,06:11,199000,golfpang,,,
골프존 안성H,2026-09-19,13:31,185000,golfpang,,,
골프존 안성H,2026-09-19,13:38,185000,golfpang,,,
골프존 안성H,2026-09-19,13:38,185000,golfpang,,,
양평TPC,2026-09-19,13:15,160000,golfpang,,,
용인(비공개),2026-09-19,13:52,199000,golfpang,,,
용인(비공개),2026-09-19,14:06,199000,golfpang,,,
용인(비공개),2026-09-19,18:17,150000,golfpang,,,
한림용인,2026-09-19,12:57,190000,golfpang,,,
한림용인,2026-09-19,11:40,220000,golfpang,,,
한림용인,2026-09-19,12:22,200000,golfpang,,,
양평TPC,2026-09-19,13:57,160000,golfpang,,,
양평TPC,2026-09-19,13:36,160000,golfpang,,,
한림용인,2026-09-19,13:32,180000,golfpang,,,
남이천(비공개),2026-09-19,06:28,210000,golfpang,,,
한림용인,2026-09-19,12:15,200000,golfpang,,,
한림용인,2026-09-19,12:57,190000,golfpang,,,
비에이비스타,2026-09-19,14:00,170000,golfpang,,,
써닝포인트,2026-09-19,17:57,165000,golfpang,,,
클럽72,2026-09-19,19:00,140000,golfpang,,,
360도,2026-09-19,11:37,190000,golfpang,,,
스카이밸리,2026-09-19,13:32,200000,golfpang,,,
포웰(안성)cc,2026-09-19,12:54,162000,golfpang,,,
이포,2026-09-19,12:54,200000,golfpang,,,
신라,2026-09-19,12:36,190000,golfpang,,,
한림용인,2026-09-19,12:15,200000,golfpang,,,
이포,2026-09-19,12:54,200000,golfpang,,,
신라,2026-09-19,13:32,180000,golfpang,,,
신라,2026-09-19,06:17,200000,golfpang,,,
포웰(안성)cc,2026-09-19,12:54,162000,golfpang,,,
한림용인,2026-09-19,17:38,158000,golfpang,,,
스카이밸리,2026-09-19,13:32,200000,golfpang,,,
마이다스레이크 이천,2026-09-19,14:03,190000,golfpang,,,
한림용인,2026-09-19,12:57,190000,golfpang,,,
신라,2026-09-19,12:36,190000,golfpang,,,
한림용인,2026-09-19,13:32,180000,golfpang,,,
골프존 안성H,2026-09-19,13:45,185000,golfpang,,,
골프존 안성H,2026-09-19,13:31,185000,golfpang,,,
골프존 안성H,2026-09-19,13:38,185000,golfpang,,,
용인플라자,2026-09-19,17:30,160000,golfpang,,,
윈체스트,2026-09-19,06:14,230000,golfpang,,,
윈체스트,2026-09-19,18:03,160000,golfpang,,,
안성(비공개),2026-09-19,13:02,220000,golfpang,,,
캐슬렉스,2026-09-19,06:39,280000,golfpang,,,
윈체스트,2026-09-19,13:03,220000,golfpang,,,
윈체스트,2026-09-19,12:04,230000,golfpang,,,
캐슬렉스,2026-09-19,13:29,280000,golfpang,,,
신라,2026-09-19,12:22,200000,golfpang,,,
세현,2026-09-19,17:48,180000,golfpang,,,
세현,2026-09-19,18:09,170000,golfpang,,,
세현,2026-09-19,18:02,180000,golfpang,,,
세현,2026-09-19,18:30,170000,golfpang,,,
빅토리아-퍼9,2026-09-19,18:27,-1,golfpang,,,
세현,2026-09-19,18:23,170000,golfpang,,,
리베라,2026-09-19,17:42,150000,golfpang,,,
빅토리아-퍼9,2026-09-19,17:38,-1,golfpang,,,
그린힐,2026-09-19,17:35,140000,golfpang,,,
신라,2026-09-19,14:14,180000,golfpang,,,
유니아일랜드,2026-09-19,15:28,170000,golfpang,,,
유니아일랜드,2026-09-19,15:28,170000,golfpang,,,
이글몬트,2026-09-20,13:39,170000,golfpang,,,
이천실크밸리,2026-09-20,18:24,80000,golfpang,,,
양평TPC,2026-09-20,12:19,160000,golfpang,,,
한림용인,2026-09-20,13:25,170000,golfpang,,,
리베라,2026-09-20,18:10,120000,golfpang,,,
골프존 송도(구.오렌지듄스),2026-09-20,13:36,179000,golfpang,,,
젠스필드,2026-09-20,18:03,80000,golfpang,,,
양평TPC,2026-09-20,12:26,160000,golfpang,,,
리베라,2026-09-20,18:31,110000,golfpang,,,
한림용인,2026-09-20,14:00,165000,golfpang,,,
빅토리아-퍼9,2026-09-20,12:52,114000,golfpang,,,
그린힐,2026-09-20,18:59,80000,golfpang,,,
안성베네스트(클),2026-09-20,13:59,179000,golfpang,,,
이글몬트,2026-09-20,12:57,180000,golfpang,,,
포웰(안성)cc,2026-09-20,12:40,162000,golfpang,,,
유니아일랜드,2026-09-20,11:15,150000,golfpang,,,
