수집 시작 시점 사이트 표시 건수 (지역코드별)
2026-09-18 {'5': 700, '1': 488, '4': 769, '8': 327, '16': 29} 합계= 2313
2026-09-19 {'5': 3102, '1': 2056, '4': 3522, '8': 1071, '16': 106} 합계= 9857
2026-09-20 {'5': 3146, '1': 2314, '4': 3421, '8': 1073, '16': 59} 합계= 10013
2026-09-21 {'5': 3307, '1': 2095, '4': 3168, '8': 1026, '16': 66} 합계= 9662
2026-09-22 {'5': 3912, '1': 2291, '4': 3182, '8': 1162, '16': 33} 합계= 10580
2026-09-23 {'5': 4150, '1': 2307, '4': 3453, '8': 1211, '16': 34} 합계= 11155
2026-09-24 {'5': 3703, '1': 2051, '4': 2766, '8': 1063, '16': 44} 합계= 9627
2026-09-25 {'5': 2079, '1': 1183, '4': 1960, '8': 743, '16': 43} 합계= 6008
2026-09-26 {'5': 2726, '1': 1517, '4': 2034, '8': 806, '16': 47} 합계= 7130
2026-09-27 {'5': 2796, '1': 1556, '4': 1959, '8': 846, '16': 37} 합계= 7194
2026-09-28 {'5': 1331, '1': 998, '4': 1266, '8': 462, '16': 9} 합계= 4066
2026-09-29 {'5': 1440, '1': 1066, '4': 1204, '8': 491, '16': 9} 합계= 4210
2026-09-30 {'5': 1423, '1': 1131, '4': 1226, '8': 513, '16': 9} 합계= 4302
2026-10-01 {'5': 634, '1': 478, '4': 895, '8': 381, '16': 8} 합계= 2396
2026-10-02 {'5': 643, '1': 436, '4': 775, '8': 328, '16': 9} 합계= 2191
2026-10-03 {'5': 297, '1': 410, '4': 432, '8': 265, '16': 13} 합계= 1417
2026-10-04 {'5': 393, '1': 456, '4': 444, '8': 220, '16': 11} 합계= 1524
2026-10-05 {'5': 344, '1': 385, '4': 619, '8': 256, '16': 9} 합계= 1613
2026-10-06 {'5': 360, '1': 253, '4': 677, '8': 236, '16': 2} 합계= 1528
2026-10-07 {'5': 281, '1': 217, '4': 636, '8': 275, '16': 3} 합계= 1412
2026-10-08 {'5': 246, '1': 151, '4': 457, '8': 229, '16': 2} 합계= 1085
2026-10-09 {'5': 120, '1': 183, '4': 374, '8': 113, '16': 8} 합계= 798
2026-10-10 {'5': 164, '1': 211, '4': 458, '8': 88, '16': 4} 합계= 925
2026-10-11 {'5': 180, '1': 193, '4': 440, '8': 76, '16': 3} 합계= 892
2026-10-12 {'5': 41, '1': 126, '4': 227, '8': 84, '16': 2} 합계= 480
2026-10-13 {'5': 47, '1': 59, '4': 241, '8': 99, '16': 2} 합계= 448
2026-10-14 {'5': 49, '1': 73, '4': 285, '8': 112} 합계= 519
2026-10-15 {'5': 46, '1': 79, '4': 299, '8': 104} 합계= 528
