예약사이트 이름,좌표DB 이름,지역,estimate_분,osrm_분,차이_분,오차율_%,estimate_km,osrm_km
아세코밸리-퍼9,아세코밸리골프클럽클럽하우스,경기,46.8,35.0,+11.7,+33.5,35.1,36.2
남양주(퍼9),남양주CC,경기,45.6,36.1,+9.5,+26.2,34.2,35.9
동서울cc-퍼9,동서울골프클럽,경기,47.6,36.8,+10.8,+29.3,35.7,39.8
코리아-퍼9,코리아 CC,경기,42.8,40.9,+1.9,+4.7,42.8,40.0
양지파인,양지파인CC,경기,51.3,42.9,+8.4,+19.5,51.3,47.9
제이퍼블릭,제이퍼블릭골프클럽,경기,41.8,45.1,-3.3,-7.4,41.8,44.2
해솔리아,해솔리아CC,경기,45.6,45.2,+0.4,+0.8,45.6,47.8
베스트밸리-퍼9,베스트밸리GC,경기,40.8,47.9,-7.0,-14.7,40.8,39.3
블루원용인(퍼),블루원 용인CC,경기,63.1,50.5,+12.6,+25.0,63.1,56.6
한림안성(퍼9),한림안성CC,경기,62.7,51.9,+10.8,+20.8,62.7,59.1
골프존 안성W,골프존카운티 안성W,경기,63.9,54.8,+9.2,+16.7,63.9,63.3
포레스트힐(P6),포레스트CC,경기,61.1,55.4,+5.7,+10.2,61.1,59.2
비에이비스타(퍼),비에이비스타CC,경기,64.4,56.4,+7.9,+14.0,64.4,61.2
용인,용인CC,경기,66.6,57.4,+9.1,+15.9,66.6,66.2
샤인데일,샤인데일골프리조트,강원,66.3,61.5,+4.7,+7.7,66.3,59.7
오너스,오너스GC,강원,65.6,64.1,+1.5,+2.3,82.0,73.3
에덴블루,에덴블루CC,경기,76.4,66.1,+10.3,+15.6,76.4,73.0
클럽모우,클럽모우CC,강원,67.6,66.2,+1.4,+2.2,67.6,68.6
양평TPC,양평TPC골프클럽,경기,71.9,69.0,+2.9,+4.2,71.9,70.0
빅토리아-퍼9,빅토리아CC,경기,66.5,71.5,-4.9,-6.9,83.2,77.6
감곡,감곡CC,충북,74.9,76.5,-1.6,-2.1,93.6,91.9
옥스필드,옥스필드CC,강원,75.1,78.8,-3.7,-4.7,93.9,87.0
이천실크밸리,이천실크밸리GC,경기,69.7,78.9,-9.1,-11.6,87.2,83.8
스타,스타CC,충북,78.2,80.2,-2.0,-2.5,97.8,97.1
일레븐,일레븐CC,충북,80.3,80.6,-0.3,-0.4,100.4,96.7
프린세스,프린세스GC,충남,98.0,84.5,+13.5,+16.0,122.4,113.1
비콘힐스,비콘힐스골프클럽,강원,78.4,85.8,-7.4,-8.6,98.0,94.7
센추리21(퍼),센추리21CC,강원,79.5,87.3,-7.8,-8.9,99.4,94.9
센추리21,센추리21CC,강원,79.5,87.3,-7.8,-8.9,99.4,94.9
골프존 천안,골프존카운티 천안,충남,84.3,87.3,-3.0,-3.5,105.4,105.0
센테리움,센테리움,충북,88.5,87.3,+1.1,+1.3,110.6,109.7
마론뉴데이,마론뉴데이CC,충남,76.1,88.9,-12.8,-14.4,95.1,93.7
골프존 화랑,골프존카운티 화랑,충북,88.2,89.1,-0.9,-1.0,110.2,103.0
로얄포레,로얄포레컨트리클럽,충북,83.5,89.4,-5.9,-6.6,104.3,110.7
골프존 진천,골프존카운티 진천,충북,86.0,89.5,-3.5,-3.9,107.5,104.2
