course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info,row_id
리베라,2026-09-18,18:59,140000,golfpang,,,18홀,tr_220346171
클럽72,2026-09-18,19:35,120000,golfpang,,,18홀,tr_219437847
떼제베(동북),2026-09-18,18:51,130000,golfpang,,,18홀,tr_220209648
포웰(안성)cc,2026-09-18,19:14,85000,golfpang,,,18홀,tr_220339313
용인플라자,2026-09-18,18:20,140000,golfpang,,,18홀,tr_219112633
한림용인,2026-09-18,18:00,125000,golfpang,,,18홀,tr_219810802
세레니티-강촌,2026-09-18,18:56,110000,golfpang,,,18홀,tr_220366434
세레니티-강촌,2026-09-18,18:42,110000,golfpang,,,18홀,tr_220366433
세레니티-강촌,2026-09-18,18:28,110000,golfpang,,,18홀,tr_220366431
라싸,2026-09-18,17:32,149000,golfpang,,,18홀,tr_220209385
알펜시아700,2026-09-18,17:30,70000,golfpang,,,18홀,tr_220205228
대호단양,2026-09-18,17:11,99000,golfpang,,,18홀,tr_220209216
알프스대영,2026-09-18,16:54,89000,golfpang,,,18홀,tr_220205234
남양주(퍼9),2026-09-18,16:47,119000,golfpang,,,18홀,tr_219002120
라싸,2026-09-18,18:00,139000,golfpang,,,18홀,tr_220209386
한림용인,2026-09-18,17:59,130000,golfpang,,,18홀,tr_220208856
해솔리아,2026-09-18,17:50,140000,golfpang,,,18홀,tr_220204885
오로라,2026-09-18,17:50,90000,golfpang,,,18홀,tr_220209618
모나크,2026-09-18,17:48,110000,golfpang,,,18홀,tr_220205046
이븐데일,2026-09-18,18:06,80000,golfpang,,,18홀,tr_220209600
킹즈락,2026-09-18,18:06,80000,golfpang,,,18홀,tr_220209611
아세코밸리-퍼9,2026-09-18,18:06,120000,golfpang,,,18홀,tr_219995804
한림용인,2026-09-18,18:06,130000,golfpang,,,18홀,tr_220208857
해솔리아,2026-09-18,18:04,130000,golfpang,,,18홀,tr_220087730
베스트밸리-퍼9,2026-09-18,18:02,130000,golfpang,,,18홀,tr_220209401
대호단양,2026-09-18,18:00,89000,golfpang,,,18홀,tr_220209217
포웰(안성)cc,2026-09-18,18:18,118000,golfpang,,,18홀,tr_220204588
힐데스하임,2026-09-18,18:11,100000,golfpang,,,18홀,tr_220205210
모나크,2026-09-18,18:09,110000,golfpang,,,18홀,tr_220205047
세현,2026-09-18,18:09,150000,golfpang,,,18홀,tr_220204544
세현,2026-09-18,19:19,150000,golfpang,,,18홀,tr_220218369
오로라,2026-09-18,18:38,80000,golfpang,,,18홀,tr_220209619
파주,2026-09-18,18:37,160000,golfpang,,,18홀,tr_220209438
힐데스하임,2026-09-18,18:34,90000,golfpang,,,18홀,tr_220205209
한림용인,2026-09-18,18:34,130000,golfpang,,,18홀,tr_220208858
한림광릉,2026-09-18,18:41,130000,golfpang,,,18홀,tr_220209487
해솔리아,2026-09-18,18:39,130000,golfpang,,,18홀,tr_220204887
포레스트힐,2026-09-18,18:52,120000,golfpang,,,18홀,tr_220230705
알프스대영,2026-09-18,18:46,69000,golfpang,,,18홀,tr_220205235
포웰(안성)cc,2026-09-18,18:46,112000,golfpang,,,18홀,tr_220204589
파주타이거,2026-09-18,17:35,170000,golfpang,,,18홀,tr_220209468
클럽72,2026-09-18,19:14,130000,golfpang,,,18홀,tr_220208873
오로라,2026-09-18,19:10,80000,golfpang,,,18홀,tr_220306934
골프존 화랑,2026-09-18,19:10,99000,golfpang,,,18홀,tr_220026229
킹즈락,2026-09-18,17:52,75000,golfpang,,,18홀,tr_220259448
프린세스,2026-09-18,19:12,115000,golfpang,,,18홀,tr_220118525
포웰(안성)cc,2026-09-18,19:14,99000,golfpang,,,18홀,tr_220259720
알펜시아700,2026-09-18,19:15,70000,golfpang,,,18홀,tr_219888795
오로라,2026-09-18,17:50,100000,golfpang,,,18홀,tr_220202639
모나크,2026-09-18,17:48,110000,golfpang,,,18홀,tr_219468614
대호단양,2026-09-18,17:46,89000,golfpang,,,18홀,tr_219788169
라싸,2026-09-18,17:39,139000,golfpang,,,18홀,tr_220216312
세현,2026-09-18,18:09,150000,golfpang,,,18홀,tr_220012119
동서울cc-퍼9,2026-09-18,18:03,49000,golfpang,,,18홀,tr_219671943
이븐데일,2026-09-18,18:00,69000,golfpang,,,18홀,tr_220306661
대호단양,2026-09-18,18:00,89000,golfpang,,,18홀,tr_220297205
필로스,2026-09-18,18:00,130000,golfpang,,,18홀,tr_220084980
