course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info,row_id
리베라,2026-09-18,18:59,140000,golfpang,,,18홀,tr_220346171
용인플라자,2026-09-18,18:00,140000,golfpang,,,18홀,tr_220260668
아세코밸리-퍼9,2026-09-18,18:13,120000,golfpang,,,18홀,tr_220306236
아세코밸리-퍼9,2026-09-18,18:06,120000,golfpang,,,18홀,tr_219952278
포웰(안성)cc,2026-09-18,18:25,109000,golfpang,,,18홀,tr_220306517
빅토리아-퍼9,2026-09-18,18:34,89000,golfpang,,,18홀,tr_220305391
빅토리아-퍼9,2026-09-18,18:27,89000,golfpang,,,18홀,tr_219153719
한림용인,2026-09-18,18:13,125000,golfpang,,,18홀,tr_220165534
한림용인,2026-09-18,18:48,120000,golfpang,,,18홀,tr_220220178
포웰(안성)cc,2026-09-18,18:46,109000,golfpang,,,18홀,tr_220306563
빅토리아-퍼9,2026-09-18,18:41,89000,golfpang,,,18홀,tr_220305393
포웰(안성)cc,2026-09-18,19:14,99000,golfpang,,,18홀,tr_220306544
한림용인,2026-09-18,19:02,120000,golfpang,,,18홀,tr_220165535
포웰(안성)cc,2026-09-18,19:00,85000,golfpang,,,18홀,tr_220260552
코리아,2026-09-18,18:15,119000,golfpang,,,18홀,tr_218159896
포웰(안성)cc,2026-09-18,19:14,85000,golfpang,,,18홀,tr_220305611
포웰(안성)cc,2026-09-18,19:14,85000,golfpang,,,18홀,tr_220339313
한림용인,2026-09-18,18:00,125000,golfpang,,,18홀,tr_219810802
용인플라자,2026-09-18,18:20,140000,golfpang,,,18홀,tr_219112633
한림용인,2026-09-18,18:34,130000,golfpang,,,18홀,tr_220208858
아세코밸리-퍼9,2026-09-18,18:06,120000,golfpang,,,18홀,tr_219995804
한림용인,2026-09-18,18:06,130000,golfpang,,,18홀,tr_220208857
해솔리아,2026-09-18,18:04,130000,golfpang,,,18홀,tr_220087730
한림용인,2026-09-18,17:59,130000,golfpang,,,18홀,tr_220208856
해솔리아,2026-09-18,17:50,140000,golfpang,,,18홀,tr_220204885
세현,2026-09-18,18:09,150000,golfpang,,,18홀,tr_220204544
포웰(안성)cc,2026-09-18,18:18,118000,golfpang,,,18홀,tr_220204588
포웰(안성)cc,2026-09-18,18:46,112000,golfpang,,,18홀,tr_220204589
해솔리아,2026-09-18,18:39,130000,golfpang,,,18홀,tr_220204887
세현,2026-09-18,19:19,150000,golfpang,,,18홀,tr_220218369
